Wavelength,x,y,z
451,0.14882,0.04119,0.80999
451,0.14872,0.04137,0.80992
451,0.14862,0.04154,0.80984
451,0.14852,0.04172,0.80977
451,0.14841,0.04189,0.80969
452,0.14831,0.04207,0.80961
452,0.14821,0.04226,0.80953
452,0.14811,0.04244,0.80945
452,0.14800,0.04262,0.80937
452,0.14790,0.04281,0.80929
452,0.14779,0.04300,0.80921
452,0.14769,0.04319,0.80912
452,0.14758,0.04339,0.80904
452,0.14747,0.04358,0.80895
452,0.14736,0.04378,0.80886
452,0.14725,0.04397,0.80877
453,0.14714,0.04417,0.80868
453,0.14703,0.04438,0.80859
453,0.14692,0.04458,0.80850
453,0.14681,0.04479,0.80840
453,0.14670,0.04499,0.80831
453,0.14658,0.04520,0.80822
453,0.14647,0.04541,0.80812
453,0.14635,0.04563,0.80802
453,0.14623,0.04584,0.80793
454,0.14611,0.04606,0.80783
454,0.14600,0.04628,0.80773
454,0.14588,0.04650,0.80763
454,0.14576,0.04672,0.80753
454,0.14563,0.04694,0.80743
454,0.14551,0.04717,0.80732
454,0.14539,0.04739,0.80722
454,0.14526,0.04762,0.80712
454,0.14514,0.04785,0.80701
454,0.14501,0.04808,0.80691
454,0.14488,0.04832,0.80680
455,0.14475,0.04855,0.80669
455,0.14462,0.04879,0.80659
455,0.14449,0.04903,0.80648
455,0.14436,0.04927,0.80637
455,0.14423,0.04951,0.80626
455,0.14409,0.04975,0.80615
455,0.14396,0.05000,0.80604
455,0.14382,0.05025,0.80593
455,0.14368,0.05050,0.80582
456,0.14354,0.05075,0.80571
456,0.14340,0.05100,0.80560
456,0.14326,0.05125,0.80549
456,0.14312,0.05151,0.80538
456,0.14297,0.05176,0.80526
456,0.14283,0.05202,0.80515
456,0.14268,0.05228,0.80503
456,0.14254,0.05255,0.80492
456,0.14239,0.05281,0.80480
456,0.14224,0.05308,0.80469
456,0.14209,0.05334,0.80457
457,0.14194,0.05361,0.80445
457,0.14178,0.05389,0.80433
457,0.14163,0.05416,0.80421
457,0.14148,0.05443,0.80409
457,0.14132,0.05471,0.80397
457,0.14117,0.05499,0.80384
457,0.14101,0.05527,0.80372
457,0.14085,0.05555,0.80360
457,0.14069,0.05584,0.80347
458,0.14053,0.05613,0.80334
458,0.14037,0.05642,0.80322
458,0.14021,0.05671,0.80309
458,0.14004,0.05700,0.80296
458,0.13988,0.05729,0.80283
458,0.13972,0.05759,0.80269
458,0.13955,0.05789,0.80256
458,0.13938,0.05819,0.80243
458,0.13922,0.05849,0.80229
458,0.13905,0.05880,0.80215
458,0.13888,0.05911,0.80202
459,0.13871,0.05941,0.80188
459,0.13854,0.05973,0.80173
459,0.13837,0.06004,0.80159
459,0.13820,0.06036,0.80145
459,0.13802,0.06067,0.80130
459,0.13785,0.06099,0.80116
459,0.13768,0.06132,0.80101
459,0.13750,0.06164,0.80086
459,0.13733,0.06197,0.80071
460,0.13715,0.06230,0.80055
460,0.13698,0.06263,0.80040
460,0.13680,0.06296,0.80024
460,0.13662,0.06330,0.80008
460,0.13644,0.06363,0.79992
460,0.13627,0.06397,0.79976
460,0.13609,0.06432,0.79960
460,0.13591,0.06466,0.79943
460,0.13573,0.06501,0.79926
460,0.13555,0.06536,0.79909
460,0.13537,0.06571,0.79892
461,0.13519,0.06606,0.79875
461,0.13500,0.06642,0.79857
461,0.13482,0.06678,0.79840
461,0.13464,0.06714,0.79822
461,0.13446,0.06751,0.79803
461,0.13427,0.06788,0.79785
461,0.13409,0.06825,0.79767
461,0.13390,0.06862,0.79748
461,0.13372,0.06900,0.79729
462,0.13353,0.06938,0.79710
462,0.13334,0.06976,0.79690
462,0.13315,0.07014,0.79670
462,0.13296,0.07053,0.79651
462,0.13277,0.07092,0.79630
462,0.13258,0.07132,0.79610
462,0.13239,0.07171,0.79590
462,0.13220,0.07211,0.79569
462,0.13201,0.07252,0.79548
462,0.13181,0.07292,0.79527
462,0.13162,0.07333,0.79505
463,0.13142,0.07375,0.79483
463,0.13122,0.07416,0.79461
463,0.13102,0.07458,0.79439
463,0.13083,0.07501,0.79417
463,0.13062,0.07543,0.79394
463,0.13042,0.07587,0.79371
463,0.13022,0.07630,0.79348
463,0.13002,0.07674,0.79324
463,0.12981,0.07718,0.79301
464,0.12961,0.07763,0.79277
464,0.12940,0.07808,0.79253
464,0.12919,0.07853,0.79228
464,0.12898,0.07899,0.79203
464,0.12877,0.07945,0.79178
464,0.12855,0.07992,0.79153
464,0.12834,0.08039,0.79127
464,0.12812,0.08086,0.79101
464,0.12791,0.08134,0.79075
464,0.12769,0.08182,0.79049
464,0.12747,0.08231,0.79022
465,0.12724,0.08280,0.78995
465,0.12702,0.08330,0.78968
465,0.12679,0.08380,0.78940
465,0.12657,0.08431,0.78913
465,0.12634,0.08482,0.78884
465,0.12611,0.08533,0.78856
465,0.12587,0.08585,0.78827
465,0.12564,0.08638,0.78798
465,0.12540,0.08691,0.78769
466,0.12517,0.08745,0.78739
466,0.12493,0.08799,0.78709
466,0.12468,0.08853,0.78678
466,0.12444,0.08908,0.78648
466,0.12419,0.08964,0.78617
466,0.12395,0.09020,0.78585
466,0.12370,0.09077,0.78554
466,0.12344,0.09134,0.78522
466,0.12319,0.09192,0.78489
466,0.12294,0.09250,0.78456
466,0.12268,0.09309,0.78423
467,0.12242,0.09368,0.78390
467,0.12216,0.09428,0.78356
467,0.12190,0.09488,0.78322
467,0.12163,0.09550,0.78287
467,0.12137,0.09611,0.78252
467,0.12110,0.09673,0.78217
467,0.12083,0.09736,0.78181
467,0.12055,0.09799,0.78145
467,0.12028,0.09863,0.78109
468,0.12000,0.09928,0.78072
468,0.11972,0.09993,0.78034
468,0.11944,0.10059,0.77997
468,0.11916,0.10125,0.77959
468,0.11888,0.10192,0.77920
468,0.11859,0.10260,0.77881
468,0.11830,0.10328,0.77842
468,0.11801,0.10397,0.77802
468,0.11772,0.10466,0.77761
468,0.11743,0.10536,0.77721
468,0.11713,0.10607,0.77679
469,0.11684,0.10679,0.77638
469,0.11654,0.10751,0.77596
469,0.11623,0.10824,0.77553
469,0.11593,0.10897,0.77510
469,0.11563,0.10971,0.77466
469,0.11532,0.11046,0.77422
469,0.11501,0.11121,0.77378
469,0.11470,0.11197,0.77333
469,0.11439,0.11274,0.77287
470,0.11407,0.11352,0.77241
470,0.11375,0.11430,0.77195
470,0.11344,0.11509,0.77147
470,0.11311,0.11589,0.77100
470,0.11279,0.11669,0.77052
